time,P,I,D,ds,left speed,right speed
331,80580.000000,0.002038,0.000000,9250.002033,9250.002033,9250.002033
332,84150.000000,0.002044,0.000000,6150.002038,6150.002038,6150.002038
333,94780.000000,0.002051,0.000000,13670.002045,13670.002045,13670.002045
334,96020.000000,0.002058,0.000000,20750.002052,20750.002052,20750.002052
335,109550.000000,0.002068,0.000000,42280.002061,42280.002061,42280.002061
336,150430.000000,0.002084,0.000000,103320.002075,103320.002075,103320.002075
337,201310.000000,0.002100,0.000000,54290.002088,54290.002088,54290.002088
338,227850.000000,0.002116,0.000000,21390.002102,21390.002102,21390.002102
339,197560.000000,0.002130,0.000000,8210.002117,8210.002117,8210.002117
340,188280.000000,0.002142,0.000000,6090.002130,6090.002130,6090.002130
341,176340.000000,0.002154,0.000000,6340.002142,6340.002142,6340.002142
342,189420.000000,0.002166,0.000000,2400.002154,2400.002154,2400.002154
343,175030.000000,0.002177,0.000000,3540.002166,3540.002166,3540.002166
344,188520.000000,0.002190,0.000000,4810.002178,4810.002178,4810.002178
345,189930.000000,0.002202,0.000000,4280.002190,4280.002190,4280.002190
346,165240.000000,0.002213,0.000000,3820.002203,3820.002203,3820.002203
347,150040.000000,0.002223,0.000000,4150.002213,4150.002213,4150.002213
348,144420.000000,0.002233,0.000000,7520.002223,7520.002223,7520.002223
349,153230.000000,0.002243,0.000000,3520.002233,3520.002233,3520.002233
350,150000.000000,0.002253,0.000000,6340.002243,6340.002243,6340.002243
351,133220.000000,0.002262,0.000000,9600.002253,9600.002253,9600.002253
352,137500.000000,0.002271,0.000000,7440.002262,7440.002262,7440.002262
353,105990.000000,0.002279,0.000000,14450.002272,14450.002272,14450.002272
354,116020.000000,0.002287,0.000000,6520.002279,6520.002279,6520.002279
355,141210.000000,0.002296,0.000000,6800.002287,6800.002287,6800.002287
356,104320.000000,0.002303,0.000000,8410.002297,8410.002297,8410.002297
357,91920.000000,0.002310,0.000000,7010.002304,7010.002304,7010.002304
358,94620.000000,0.002316,0.000000,2160.002310,2160.002310,2160.002310
359,94500.000000,0.002322,0.000000,5280.002316,5280.002316,5280.002316
360,104460.000000,0.002329,0.000000,2430.002322,2430.002322,2430.002322
361,88060.000000,0.002335,0.000000,3030.002329,3030.002329,3030.002329
362,94330.000000,0.002341,0.000000,4940.002335,4940.002335,4940.002335
363,96510.000000,0.002348,0.000000,5910.002342,5910.002342,5910.002342
364,91930.000000,0.002354,0.000000,4660.002348,4660.002348,4660.002348
365,94660.000000,0.002360,0.000000,4160.002354,4160.002354,4160.002354
366,90290.000000,0.002366,0.000000,1990.002360,1990.002360,1990.002360
367,94430.000000,0.002373,0.000000,5150.002367,5150.002367,5150.002367
368,83830.000000,0.002378,0.000000,1010.002373,1010.002373,1010.002373
369,87440.000000,0.002384,0.000000,2240.002378,2240.002378,2240.002378
370,99470.000000,0.002390,0.000000,2780.002384,2780.002384,2780.002384
371,89810.000000,0.002396,0.000000,5510.002391,5510.002391,5510.002391
372,86470.000000,0.002402,0.000000,3360.002397,3360.002397,3360.002397
373,95410.000000,0.002409,0.000000,4840.002403,4840.002403,4840.002403
374,84300.000000,0.002414,0.000000,3210.002409,3210.002409,3210.002409
375,85160.000000,0.002420,0.000000,6010.002415,6010.002415,6010.002415
376,86510.000000,0.002426,0.000000,2550.002420,2550.002420,2550.002420
377,91750.000000,0.002432,0.000000,2660.002426,2660.002426,2660.002426
378,85570.000000,0.002437,0.000000,1900.002432,1900.002432,1900.002432
379,85730.000000,0.002443,0.000000,2550.002438,2550.002438,2550.002438
380,78140.000000,0.002448,0.000000,4080.002443,4080.002443,4080.002443
381,80960.000000,0.002454,0.000000,2850.002448,2850.002448,2850.002448
382,83570.000000,0.002459,0.000000,700.002454,700.002454,700.002454
383,86860.000000,0.002465,0.000000,1340.002459,1340.002459,1340.002459
384,82850.000000,0.002470,0.000000,3360.002465,3360.002465,3360.002465
385,81470.000000,0.002476,0.000000,4440.002471,4440.002471,4440.002471
